ObsID,OBJECT,NOTJUNK,READSPED,SNRCL452,SNRCL548,SNRCL652,SNRCL747,SNRCL852,SNRSC452,SNRSC548,SNRSC652,SNRSC747,SNRSC852,EXPTIME,ELAPSED,DATE-MID,MJD-OBS
KP.20230105.81313.83,Th_daily_extended_all,True,regular,,,,,,,,,,,2.0,2.0,2023-01-05 22:35:14.941000,59949.941131
KP.20250106.63642.39,autocal-thar-all-morn,True,regular,42.722,66.034,67.997,415.104,214.732,73.904,146.113,158.114,974.407,489.507,20.0,20.0,2025-01-06 17:40:52.400000,60681.736598
KP.20240623.63621.54,autocal-thar-all-morn,True,regular,45.353,74.29,87.372,165.236,68.766,78.02,158.219,191.256,388.159,151.948,10.0,10.015,2024-06-23 17:40:26.544000,60484.736358
KP.20250106.63710.96,autocal-thar-all-morn,True,regular,41.218,66.488,67.79,414.177,213.979,71.612,146.302,158.053,976.925,486.713,20.0,20.017,2025-01-06 17:42:00.965000,60681.737395
KP.20240623.63680.04,autocal-thar-all-morn,True,regular,45.093,74.519,87.195,165.524,68.729,79.266,160.879,191.815,389.137,152.786,10.0,10.0,2024-06-23 17:41:25.072000,60484.737037
KP.20250704.16768.69,autocal-thar-all-night,True,regular,33.607,54.32,54.501,371.58,146.679,61.429,121.488,127.865,895.093,359.069,20.0,20.001,2025-07-04 04:39:38.699000,60860.194078
KP.20250106.63847.98,autocal-thar-all-morn,True,regular,41.709,65.464,67.95,414.369,214.635,72.977,146.986,157.147,977.187,486.411,20.0,20.077,2025-01-06 17:44:18.023000,60681.738977
KP.20230105.81891.13,Th_daily_extended_all,True,regular,,,,,,,,,,,2.0,2.0,2023-01-05 22:44:52.256000,59949.947813
KP.20230105.82019.44,Th_daily_extended_all,True,regular,,,,,,,,,,,2.0,2.0,2023-01-05 22:47:00.551000,59949.949295
KP.20250825.64440.46,autocal-thar-hk,True,regular,43.023,97.377,152.08,1507.586,1075.596,76.612,224.99,365.499,3386.082,2774.305,120.0,120.001,2025-08-25 17:55:00.477000,60912.745839
KP.20260127.64103.05,autocal-thar-all-morn,True,regular,26.085,47.119,43.734,436.641,177.601,33.348,79.921,75.874,790.862,243.073,20.0,20.0,2026-01-27 17:48:33.061000,61067.74193
KP.20230105.82083.52,Th_daily_extended_all,True,regular,,,,,,,,,,,2.0,2.0,2023-01-05 22:48:04.626000,59949.950039
KP.20260127.63553.71,autocal-thar-all-morn,True,regular,26.117,47.346,42.694,433.113,174.319,33.588,79.954,74.692,785.844,234.736,20.0,20.0,2026-01-27 17:39:23.719000,61067.735573
KP.20250704.18537.67,autocal-thar-all-night,True,regular,36.386,58.128,58.475,374.568,155.833,65.29,131.774,135.905,898.079,382.188,20.0,20.0,2025-07-04 05:09:07.680000,60860.214555
KP.20230105.84007.81,Th_daily_extended_all,True,regular,,,,,,,,,,,2.0,2.0,2023-01-05 23:20:08.913000,59949.97231
KP.20221212.79654.02,Th_daily_all_extended,,,,,,,,,,,,,5.0,5.0,2022-12-12 22:07:36.647000,59925.92192
KP.20250704.19085.91,autocal-thar-all-night,True,regular,36.171,57.507,57.628,373.784,152.189,64.375,129.882,134.857,898.083,380.563,20.0,20.018,2025-07-04 05:18:15.918000,60860.220901
KP.20250704.19154.35,autocal-thar-all-night,True,regular,36.039,58.21,58.597,375.422,154.294,63.985,129.914,133.933,900.931,377.816,20.0,20.0,2025-07-04 05:19:24.405000,60860.221691
KP.20240719.06911.06,autocal-thar-all-eve,True,regular,46.068,76.7,94.929,144.134,61.479,81.457,163.333,208.296,336.634,134.99,10.0,10.0,2024-07-19 01:55:16.068000,60510.079986
KP.20230927.63557.15,autocal-thar-all-morn,True,regular,8.631,15.766,17.237,49.992,29.866,24.956,57.265,63.842,158.465,93.013,10.0,10.068,2023-09-27 17:39:22.188000,60214.735612
KP.20231116.63620.52,autocal-thar-all-morn,True,regular,9.686,17.906,18.41,53.442,31.538,27.415,60.92,68.08,164.427,98.233,10.0,10.075,2023-11-16 17:40:25.558000,60264.736347
KP.20250704.19634.22,autocal-thar-all-night,True,regular,35.828,56.541,57.527,372.856,153.198,63.407,127.584,133.866,896.474,376.319,20.0,20.018,2025-07-04 05:27:24.231000,60860.227246
KP.20260127.07779.49,autocal-thar-all-eve,True,regular,26.14,48.285,43.093,434.744,170.959,33.061,79.218,76.606,787.307,235.834,20.0,20.0,2026-01-27 02:09:49.494000,61067.090039
KP.20231116.63561.95,autocal-thar-all-morn,True,regular,9.898,17.503,18.35,53.381,31.794,26.94,60.869,68.322,163.137,97.306,10.0,10.013,2023-11-16 17:39:26.959000,60264.735669
KP.20231116.63737.85,autocal-thar-all-morn,True,regular,9.786,17.678,18.36,53.583,31.409,27.327,61.454,67.025,163.9,98.206,10.0,10.018,2023-11-16 17:42:22.858000,60264.737705
KP.20250818.08264.48,autocal-thar-all-eve,True,regular,63.395,101.825,104.31,442.481,239.345,117.887,230.948,242.153,1032.22,548.932,20.0,20.0,2025-08-18 02:17:54.490000,60905.095653
KP.20230105.84264.35,Th_daily_extended_all,True,regular,,,,,,,,,,,2.0,2.0,2023-01-05 23:24:25.459000,59949.975279
KP.20250704.22513.77,autocal-thar-all-night,True,regular,35.485,57.205,57.503,372.582,151.069,64.822,129.585,134.228,894.965,379.929,20.0,20.0,2025-07-04 06:15:23.778000,60860.260573
KP.20230105.84841.17,Th_daily_extended_all,True,regular,,,,,,,,,,,2.0,2.0,2023-01-05 23:34:02.278000,59949.981955
KP.20230105.85033.76,Th_daily_extended_all,True,regular,,,,,,,,,,,2.0,2.0,2023-01-05 23:37:14.873000,59949.984186
KP.20250704.28108.31,autocal-thar-all-night,True,regular,35.94,56.768,57.59,371.726,154.649,63.417,126.658,134.163,895.959,376.883,20.0,20.0,2025-07-04 07:48:38.319000,60860.325327
KP.20250630.30330.15,autocal-thar-all-night,True,regular,28.24,46.514,46.969,374.975,149.645,49.239,103.252,108.333,899.03,353.885,20.0,20.0,2025-06-30 08:25:40.156000,60856.35104
KP.20231114.29502.14,,True,regular,52.514,94.706,101.945,309.511,197.983,11.064,10.402,-9.813,102.79,75.754,300.0,300.0,2023-11-14 08:14:12.146000,60262.341458
KP.20230105.85418.75,Th_daily_extended_all,True,regular,,,,,,,,,,,2.0,2.0,2023-01-05 23:43:39.861000,59949.988643
KP.20250704.28176.83,autocal-thar-all-night,True,regular,36.237,57.094,57.182,371.972,153.061,64.552,126.53,133.576,894.548,374.98,20.0,20.018,2025-07-04 07:49:46.841000,60860.326118
KP.20250630.30398.71,autocal-thar-all-night,True,regular,27.737,45.906,47.174,374.666,148.956,48.615,102.461,107.733,899.158,352.868,20.0,20.0,2025-06-30 08:26:48.718000,60856.351837
KP.20240617.07290.59,autocal-thar-all-eve,True,regular,44.892,74.028,85.836,171.343,67.69,78.357,158.153,187.736,394.604,147.202,10.0,10.013,2024-06-17 02:01:35.601000,60478.084377
KP.20230526.06050.30,autocal-thar-sci-eve,True,regular,5.1,5.1,4.0,10.7,5.5,18.9,40.5,43.2,105.2,61.2,2.0,2.0,2023-05-26 01:40:51.409000,60090.070022
KP.20230518.06443.58,autocal-thar-all-eve,True,regular,9.4,16.1,16.4,41.5,25.3,20.3,42.5,45.3,111.0,64.4,2.0,2.0,2023-05-18 01:47:24.692000,60082.074576
KP.20260125.08178.91,autocal-thar-all-eve,True,regular,29.265,50.383,46.442,448.993,190.94,35.888,82.317,81.697,816.242,252.29,20.0,20.017,2026-01-25 02:16:28.920000,61065.09466
KP.20230526.06114.25,autocal-thar-sci-eve,True,regular,5.2,5.0,4.0,10.7,5.4,18.8,41.1,43.1,105.2,59.8,2.0,2.0,2023-05-26 01:41:55.361000,60090.070766
KP.20241026.06054.09,autocal-thar-sci-eve,True,regular,6.152,6.119,13.075,51.087,27.987,58.516,121.387,112.753,760.759,301.21,20.0,20.001,2024-10-26 01:41:04.121000,60609.070067
KP.20240624.63796.78,autocal-thar-all-morn,True,regular,44.977,74.273,87.299,168.901,68.413,78.237,158.877,191.465,386.645,150.771,10.0,10.0,2024-06-24 17:43:21.795000,60485.738385
KP.20240621.63619.99,autocal-thar-all-morn,True,regular,45.414,74.181,87.375,171.109,68.396,79.02,159.305,190.896,392.951,150.055,10.0,10.066,2024-06-21 17:40:25.027000,60482.736343
KP.20230924.07224.88,autocal-thar-all-eve,True,regular,8.67,15.663,16.797,49.138,30.335,25.5,55.843,63.726,160.407,93.863,10.0,10.074,2023-09-24 02:00:29.918000,60211.083618
