ObsID,OBJECT,NOTJUNK,READSPED,SNRCL452,SNRCL548,SNRCL652,SNRCL747,SNRCL852,SNRSC452,SNRSC548,SNRSC652,SNRSC747,SNRSC852,EXPTIME,ELAPSED,DATE-MID,MJD-OBS
KP.20240201.51175.75,lfc-ccd-warmup-test,True,regular,10.044,301.084,198.341,190.9,407.274,21.895,775.083,763.031,655.992,627.138,30.0,30.001,2024-02-01 14:13:10.765000,60341.592312
KP.20240201.51333.18,lfc-ccd-warmup-test,True,regular,10.404,301.613,197.314,191.336,407.147,22.539,777.582,762.149,656.75,625.929,30.0,30.0,2024-02-01 14:15:48.193000,60341.59413
KP.20240201.51411.81,lfc-ccd-warmup-test,True,regular,10.671,302.128,197.454,190.503,406.437,23.09,777.694,762.91,655.893,626.967,30.0,30.016,2024-02-01 14:17:06.816000,60341.595045
KP.20240201.53615.76,lfc-ccd-warmup-test,True,regular,22.203,301.968,197.352,191.019,409.529,48.798,776.927,763.017,656.444,632.689,30.0,30.0,2024-02-01 14:53:50.767000,60341.620551
KP.20240201.54324.12,lfc-ccd-warmup-test,True,regular,9.153,301.526,197.134,191.526,408.367,19.767,776.213,763.118,658.288,633.511,30.0,30.0,2024-02-01 15:05:39.129000,60341.62875
KP.20240201.54717.87,lfc-ccd-warmup-test,True,regular,9.259,300.859,196.873,192.097,410.926,20.218,772.056,763.423,658.226,634.327,30.0,30.02,2024-02-01 15:12:12.880000,60341.633307
KP.20240201.54796.54,lfc-ccd-warmup-test,True,regular,9.298,300.942,196.067,192.807,408.973,20.402,770.784,762.676,658.391,634.363,30.0,30.02,2024-02-01 15:13:31.546000,60341.634216
KP.20240201.54875.38,lfc-ccd-warmup-test,True,regular,9.339,300.669,196.569,191.95,407.209,20.199,769.441,762.18,657.171,633.736,30.0,30.0,2024-02-01 15:14:50.388000,60341.635131
KP.20251128.11649.57,autocal-lfc-all-eve,True,regular,56.892,260.618,351.207,401.681,485.831,170.18,809.548,1191.841,1743.333,2912.293,20.0,20.067,2025-11-28 03:14:19.605000,61007.134835
KP.20251128.11787.06,autocal-lfc-all-eve,True,regular,30.475,266.696,349.613,395.794,480.532,92.006,824.715,1183.452,1709.856,2888.064,20.0,20.0,2025-11-28 03:16:37.065000,61007.136422
KP.20251128.11924.48,autocal-lfc-all-eve,True,regular,21.188,265.963,348.168,390.094,474.901,62.46,826.419,1177.27,1687.326,2873.751,20.0,20.001,2025-11-28 03:18:54.489000,61007.138016
KP.20251128.11993.19,autocal-lfc-all-eve,True,regular,18.255,278.678,346.605,393.243,475.776,53.349,863.533,1171.274,1701.272,2868.118,20.0,20.022,2025-11-28 03:20:03.204000,61007.138809
KP.20240201.72522.16,lfc-ccd-warmup-test,True,regular,7.966,289.949,189.909,186.899,419.168,16.988,745.801,734.912,650.153,646.64,30.0,30.064,2024-02-01 20:08:57.194000,60341.839377
KP.20240201.72679.69,lfc-ccd-warmup-test,False,regular,6.184,5.929,5.588,6.033,5.528,10.292,10.134,6.975,9.827,9.742,30.0,30.0,2024-02-01 20:11:34.697000,60341.841195
KP.20240201.73751.06,lfc-ccd-warmup-test,True,regular,-31.889,970.425,405.131,288.476,478.415,-78.272,2508.865,1564.139,1034.972,741.883,30.0,30.0,2024-02-01 20:29:26.069000,60341.853597
KP.20240201.73908.51,lfc-ccd-warmup-test,True,regular,7.915,289.984,190.055,187.556,418.793,17.121,745.351,733.782,652.345,646.84,30.0,30.018,2024-02-01 20:32:03.521000,60341.855421
KP.20240514.67449.24,autocal-lfc-all-morn,True,regular,5.284,200.579,159.504,112.79,174.874,5.032,434.766,456.012,454.317,515.162,60.0,60.022,2024-05-14 18:44:39.250000,60444.780658
